term,tfidf_mean
재밌었습니다,0.0013450499527333081
몰입도,0.0013440247553349635
잘하네요,0.00134149041737214
재미있었습니다,0.0013389675014861644
최근,0.0013356298073123156
유해진배우의,0.001329502135617261
뭔가,0.0013283224628286676
몰입감을,0.001324888452692487
제대로,0.0013235342433841784
가서,0.0013229567908027533
혼자,0.0013217584942856106
스토리는,0.0013209284594539838
잘하셔서,0.001315977409516671
강추합니다,0.0013149453974354638
그저,0.001309929187580467
살짝,0.0013061537967079824
오늘,0.0013040827393521301
것이,0.001301579901149257
같네요,0.0012997333037796125
한국,0.0012988814955267433
즐거운,0.0012981921850382275
부모님과,0.0012964767376521962
모시고,0.0012929908816598239
따뜻한,0.0012928165361324124
아이들과,0.001289767909475255
바탕으로,0.0012847906919440763
되어,0.0012841573928874003
있었지만,0.0012820288202386799
때문에,0.0012818818852699833
가족끼리,0.0012803306582200075
감동적으로,0.0012773605685846576
몰입,0.0012718760675032095
제가,0.001270213930032942
영화관,0.0012690805286018245
연출과,0.0012649727079602987
이게,0.0012598417525707143
감정을,0.001258808296865771
깊게,0.0012568628898743622
감동적이었습니다,0.001253293973937362
사람이,0.001253237197680104
보다가,0.0012513420925228552
감독님의,0.0012507096657631343
최고에요,0.0012481964907137021
별로,0.0012480230596965426
연기력과,0.0012456789100785954
되었습니다,0.001242850782883623
박지훈은,0.001241551175719613
주르륵,0.0012409142594355888
잘보았습니다,0.0012407573994787566
하나,0.0012391777309780426
좋았던,0.0012389923653442912
나왔네요,0.0012383108738176626
역사적인,0.0012275065293938998
배우는,0.0012248251345525303
나온,0.0012221898401547663
가볍게,0.0012190862665767356
아깝지,0.001214236121688987
연기력은,0.0012131603955335736
잘함,0.0012072760070923538
감정이,0.0012063350288893326
영화보고,0.0012027932589671797
부분이,0.001201540849734145
이놈,0.001194308523133083
나이에,0.0011931232497107873
났어요,0.001190643703960492
굿굿,0.0011900744119160277
감독이,0.0011899265093816829
울리는,0.0011892831564435484
몰입하게,0.0011892145093149182
몰입도가,0.0011850209031947522
재미도,0.0011843433228311022
있었고,0.001183765352219307
감명깊게,0.0011818273205252779
박수를,0.00118160150068003
내용이,0.0011812964083198342
알면서도,0.0011747348807749174
사실,0.001167058208261615
어린나이에,0.0011650801348094659
울었다,0.0011648461946038408
나왔습니다,0.0011636932677209324
알고있는,0.001162302812672723
모두가,0.0011583578287171353
잼나게,0.0011582025849404055
알았는데,0.0011552792039522478
싶네요,0.0011504176316888247
다한,0.0011480561718911237
연기력으로,0.0011458346318493698
cg가,0.0011431122500830055
몰입하면서,0.0011397764308619046
재밋게,0.0011396593418826037
눈빛과,0.0011385683914593937
이유가,0.0011385462790922463
재미가,0.0011358892527769998
수양대군,0.0011333015186191413
장면,0.0011310312329664586
영화예요,0.001128728073126074
슬퍼,0.0011251589942464463
않는,0.0011240975603073002
느낄,0.0011169107060932176
열연이,0.0011165064770922502
감정,0.0011162766055332419
잼있게,0.0011156111931381
가족들이랑,0.0011144254696564672
영화다,0.0011053946358716997
재밌습니다,0.001103590740322892
미친,0.0011022441217733363
느껴지는,0.0011002875122649851
자꾸,0.0010941699640534095
슬펐다,0.0010815973073620994
몰입하며,0.0010814129443524707
눈물도,0.0010804212605735946
끝나고,0.001078058158778336
cg,0.001076917581988778
관람했어요,0.0010748130327818022
그래서,0.001073966718477095
되네요,0.0010710277114712881
이번,0.0010699081255138524
크게,0.0010690208811552407
결국,0.0010679744705120976
연기력도,0.0010674607367867214
cg는,0.001062082555890742
배우연기,0.0010594599482018632
완벽한,0.0010586403731163317
다만,0.0010582703341247648
내용도,0.0010569547231556865
울어서,0.0010548027841355417
엉엉,0.001052861299394894
연기자들의,0.0010526301595916966
갔는데,0.0010524120781922356
수가,0.0010509440867930776
볼만했어요,0.0010496878035995505
가족,0.0010478156072479625
있습니다,0.0010473861147519282
것도,0.0010449901094188958
지루하지,0.0010442675499226178
부디,0.0010429289799967936
통해,0.0010416621674903133
내용,0.0010407743398747743
유해진씨,0.0010400248860619715
인생,0.0010370182868283165
마지막은,0.0010363675741615484
슬프지만,0.001036099043801625
가슴아픈,0.001035092275240446
결말이,0.0010328845555967964
아쉬움,0.0010304324856873664
홍위,0.0010303077859370575
사실에,0.001026387682885642
배우와,0.0010250746185353954
박지훈배우의,0.0010234953999492887
나와서,0.0010229334670105845
마을,0.00101681960633163
장항준감독님,0.0010161549194014161
스토리를,0.0010158069562612533
나네요,0.0010140248738047918
몰입감있게,0.0010115445137039653
내용이지만,0.0010092180174358543
유지태의,0.0010080750185281196
보았어요,0.001006749225502797
주연,0.001001501007496723
영화보면서,0.0010012955701563244
슬픔을,0.0010000022747942688
볼만합니다,0.0009998614764349192
캐스팅이,0.000996896426682761
않게,0.0009928441188753261
한명회는,0.0009916145745638724
엄마랑,0.0009908202599229914
남아요,0.000990417333436766
했지만,0.00099003202918781
보시길,0.0009897332983334183
아프고,0.0009892689977950605
명절에,0.0009854770593255003
맘이,0.000985270427236755
없네요,0.000984862254004039
무조건,0.0009836276232874975
손수건,0.0009802130941187427
보냅니다,0.0009801127199871942
인상,0.000974509839581699
무난하게,0.0009729514052273944
영화중,0.0009714768248817459
연기차력쇼,0.0009713323244357541
거의,0.0009703405065758435
삶이,0.0009694424933968052
화이팅,0.0009650165383691517
생각합니다,0.0009640917094279399
아쉽지만,0.000962707556391341
아름다운,0.0009598879737296547
미쳤습니다,0.0009582487641267786
